"","CNT","STRATUM","CNTSCHID","SCHSIZE","CLSIZE","STRATIO","SCHLTYPE","Region","Area"
"68","VNM","VNM0209",70400068,793,38,21.4324,3,"CENTRAL","REMOTE"
"69","VNM","VNM0207",70400069,1886,43,17.463,3,"CENTRAL","RURAL"
"70","VNM","VNM0102",70400070,914,43,17.2453,3,"NORTH","RURAL"
"71","VNM","VNM0313",70400071,1360,38,18.6301,3,"SOUTH","URBAN"
"72","VNM","VNM0208",70400072,1241,43,17.2361,3,"CENTRAL","URBAN"
"73","VNM","VNM0102",70400073,555,13,18.5,3,"NORTH","RURAL"
"74","VNM","VNM0208",70400074,1214,43,22.0727,3,"CENTRAL","URBAN"
"75","VNM","VNM0314",70400075,370,53,10.8824,3,"SOUTH","RURAL"
"76","VNM","VNM0101",70400076,151,33,4.3143,3,"NORTH","URBAN"
"77","VNM","VNM0207",70400077,1393,53,17.859,3,"CENTRAL","RURAL"
"78","VNM","VNM0102",70400078,896,43,20.8372,3,"NORTH","RURAL"
"79","VNM","VNM0209",70400079,691,53,21.9365,3,"CENTRAL","REMOTE"
"80","VNM","VNM0313",70400080,874,43,16.4906,3,"SOUTH","URBAN"
"81","VNM","VNM0102",70400081,761,38,17.2955,3,"NORTH","RURAL"
"82","VNM","VNM0211",70400082,372,53,16.9091,1,"CENTRAL","RURAL"
"83","VNM","VNM0102",70400083,1158,38,15.44,3,"NORTH","RURAL"
"84","VNM","VNM0208",70400084,1274,33,16.3333,3,"CENTRAL","URBAN"
"85","VNM","VNM0314",70400085,976,33,14.5672,3,"SOUTH","RURAL"
"86","VNM","VNM0210",70400086,307,38,19.1875,1,"CENTRAL","URBAN"
"87","VNM","VNM0313",70400087,414,53,5.9143,3,"SOUTH","URBAN"
"88","VNM","VNM0102",70400088,493,43,6.1625,3,"NORTH","RURAL"
"89","VNM","VNM0101",70400089,1841,38,19.1771,3,"NORTH","URBAN"
"90","VNM","VNM0314",70400090,850,38,12.9771,3,"SOUTH","RURAL"
"91","VNM","VNM0314",70400091,1030,43,15.1471,3,"SOUTH","RURAL"
"92","VNM","VNM0101",70400092,874,38,16.1852,3,"NORTH","URBAN"
"93","VNM","VNM0103",70400093,247,53,12.35,3,"NORTH","REMOTE"
"94","VNM","VNM0209",70400094,879,28,19.1087,3,"CENTRAL","REMOTE"
"95","VNM","VNM0207",70400095,799,33,16.6458,3,"CENTRAL","RURAL"
"96","VNM","VNM0208",70400096,458,48,7.3871,3,"CENTRAL","URBAN"
"97","VNM","VNM0101",70400097,1706,43,18.3441,3,"NORTH","URBAN"
"98","VNM","VNM0208",70400098,1130,38,14.8684,3,"CENTRAL","URBAN"
"99","VNM","VNM0208",70400099,1002,38,15.6563,3,"CENTRAL","URBAN"
"100","VNM","VNM0207",70400100,1472,43,30.6667,3,"CENTRAL","RURAL"
"101","VNM","VNM0313",70400101,1419,38,15.6796,3,"SOUTH","URBAN"
"102","VNM","VNM0208",70400102,1666,38,18.2077,3,"CENTRAL","URBAN"
"103","VNM","VNM0313",70400103,826,48,7,3,"SOUTH","URBAN"
"104","VNM","VNM0208",70400104,1225,53,18.9922,3,"CENTRAL","URBAN"
"105","VNM","VNM0315",70400105,698,53,10.7385,3,"SOUTH","REMOTE"
"106","VNM","VNM0102",70400106,1496,38,18.9367,3,"NORTH","RURAL"
"107","VNM","VNM0208",70400107,338,28,13,3,"CENTRAL","URBAN"
"108","VNM","VNM0101",70400108,1689,43,18.9775,3,"NORTH","URBAN"
"109","VNM","VNM0313",70400109,1090,53,16.7692,3,"SOUTH","URBAN"
"110","VNM","VNM0102",70400110,1528,43,15.9167,3,"NORTH","RURAL"
"111","VNM","VNM0313",70400111,553,53,12.427,3,"SOUTH","URBAN"
"112","VNM","VNM0317",70400112,525,43,30.8824,1,"SOUTH","RURAL"
"113","VNM","VNM0313",70400113,1883,43,19.6146,3,"SOUTH","URBAN"
"114","VNM","VNM0313",70400114,1324,43,16.6541,3,"SOUTH","URBAN"
"115","VNM","VNM0101",70400115,744,33,14.3077,3,"NORTH","URBAN"
"116","VNM","VNM0102",70400116,220,13,10,3,"NORTH","RURAL"
"117","VNM","VNM0314",70400117,2156,38,15.6232,3,"SOUTH","RURAL"
"118","VNM","VNM0104",70400118,491,38,15.1077,1,"NORTH","URBAN"
"119","VNM","VNM0210",70400119,1315,43,22.4786,1,"CENTRAL","URBAN"
"120","VNM","VNM0101",70400120,1949,43,21.1848,NA,"NORTH","URBAN"
"121","VNM","VNM0207",70400121,1460,43,17.1765,3,"CENTRAL","RURAL"
"122","VNM","VNM0208",70400122,1439,38,16.9294,3,"CENTRAL","URBAN"
"123","VNM","VNM0208",70400123,1528,38,17.9765,3,"CENTRAL","URBAN"
"124","VNM","VNM0102",70400124,585,43,6.7241,3,"NORTH","RURAL"
"125","VNM","VNM0207",70400125,411,43,34.25,3,"CENTRAL","RURAL"
"126","VNM","VNM0316",70400126,329,28,9.4,1,"SOUTH","URBAN"
"127","VNM","VNM0313",70400127,1716,33,14.2407,3,"SOUTH","URBAN"
"128","VNM","VNM0314",70400128,1513,38,17.096,3,"SOUTH","RURAL"
"129","VNM","VNM0103",70400129,310,13,15.5,3,"NORTH","REMOTE"
"130","VNM","VNM0103",70400130,540,38,16.3636,3,"NORTH","REMOTE"
"131","VNM","VNM0207",70400131,1346,43,23.0085,3,"CENTRAL","RURAL"
"132","VNM","VNM0314",70400132,849,28,12.8636,3,"SOUTH","RURAL"
"133","VNM","VNM0207",70400133,735,33,24.5,3,"CENTRAL","RURAL"
"134","VNM","VNM0207",70400134,184,28,23,3,"CENTRAL","RURAL"
"135","VNM","VNM0102",70400135,190,13,9.5,3,"NORTH","RURAL"
"136","VNM","VNM0101",70400136,1233,43,18.1324,3,"NORTH","URBAN"
"137","VNM","VNM0314",70400137,380,53,11.5152,3,"SOUTH","RURAL"
"138","VNM","VNM0314",70400138,622,18,19.746,3,"SOUTH","RURAL"
"139","VNM","VNM0105",70400139,756,NA,30.24,3,"NORTH","URBAN"
"140","VNM","VNM0208",70400140,662,53,15.7619,3,"CENTRAL","URBAN"
"141","VNM","VNM0208",70400141,1503,38,16.0749,3,"CENTRAL","URBAN"
"142","VNM","VNM0101",70400142,249,53,10.375,3,"NORTH","URBAN"
"143","VNM","VNM0209",70400143,1292,38,16.7792,3,"CENTRAL","REMOTE"
"144","VNM","VNM0104",70400144,310,33,10.3333,1,"NORTH","URBAN"
"145","VNM","VNM0104",70400145,399,38,12.871,1,"NORTH","URBAN"
"146","VNM","VNM0102",70400146,936,53,14.0752,3,"NORTH","RURAL"
"147","VNM","VNM0209",70400147,279,53,11.625,3,"CENTRAL","REMOTE"
"148","VNM","VNM0317",70400148,766,48,8.907,1,"SOUTH","RURAL"
"149","VNM","VNM0208",70400149,1144,33,15.2533,3,"CENTRAL","URBAN"
"150","VNM","VNM0209",70400150,246,13,24.6,3,"CENTRAL","REMOTE"
"151","VNM","VNM0101",70400151,1126,38,15.2162,3,"NORTH","URBAN"
"152","VNM","VNM0208",70400152,1101,38,18.9828,3,"CENTRAL","URBAN"
"153","VNM","VNM0101",70400153,1209,33,14.9259,3,"NORTH","URBAN"
"154","VNM","VNM0314",70400154,1405,38,16.6272,3,"SOUTH","RURAL"
"155","VNM","VNM0101",70400155,1635,43,21.5132,3,"NORTH","URBAN"
"156","VNM","VNM0101",70400156,828,53,15.3333,3,"NORTH","URBAN"
"157","VNM","VNM0313",70400157,1991,43,18.1,3,"SOUTH","URBAN"
"158","VNM","VNM0314",70400158,418,33,4.5934,3,"SOUTH","RURAL"
"159","VNM","VNM0316",70400159,210,18,5.6757,1,"SOUTH","URBAN"
"160","VNM","VNM0207",70400160,1290,43,17.2,3,"CENTRAL","RURAL"
"161","VNM","VNM0207",70400161,1197,33,13.1538,3,"CENTRAL","RURAL"
"162","VNM","VNM0208",70400162,1365,53,14.2188,3,"CENTRAL","URBAN"
"163","VNM","VNM0101",70400163,602,13,12.2857,3,"NORTH","URBAN"
"164","VNM","VNM0102",70400164,1620,38,17.234,3,"NORTH","RURAL"
"165","VNM","VNM0105",70400165,1368,53,19.8261,3,"NORTH","URBAN"
"166","VNM","VNM0207",70400166,1443,53,15.1099,3,"CENTRAL","RURAL"
"167","VNM","VNM0102",70400167,2471,33,26.0105,3,"NORTH","RURAL"
"168","VNM","VNM0207",70400168,1217,53,11.5905,3,"CENTRAL","RURAL"
"169","VNM","VNM0104",70400169,585,43,16.0274,1,"NORTH","URBAN"
"170","VNM","VNM0313",70400170,1816,43,21.1163,3,"SOUTH","URBAN"
"171","VNM","VNM0209",70400171,408,33,14.5714,3,"CENTRAL","REMOTE"
"172","VNM","VNM0313",70400172,1227,43,15.9351,3,"SOUTH","URBAN"
"173","VNM","VNM0313",70400173,1287,38,15.0526,3,"SOUTH","URBAN"
"174","VNM","VNM0101",70400174,1317,43,13.4388,3,"NORTH","URBAN"
"175","VNM","VNM0102",70400175,1662,53,17.871,3,"NORTH","RURAL"
"176","VNM","VNM0207",70400176,1035,33,12.3214,3,"CENTRAL","RURAL"
"177","VNM","VNM0101",70400177,727,53,11.5397,3,"NORTH","URBAN"
"178","VNM","VNM0101",70400178,720,23,7.6596,3,"NORTH","URBAN"
"179","VNM","VNM0102",70400179,1215,43,18.1343,3,"NORTH","RURAL"
"180","VNM","VNM0314",70400180,956,38,14.7077,3,"SOUTH","RURAL"
"181","VNM","VNM0102",70400181,800,38,18.6047,3,"NORTH","RURAL"
"182","VNM","VNM0102",70400182,1863,53,18.4455,3,"NORTH","RURAL"
"183","VNM","VNM0207",70400183,4016,43,19.1238,3,"CENTRAL","RURAL"
"184","VNM","VNM0313",70400184,1412,33,22.0625,3,"SOUTH","URBAN"
"185","VNM","VNM0207",70400185,831,43,38.6512,3,"CENTRAL","RURAL"
"186","VNM","VNM0102",70400186,762,38,12.2903,3,"NORTH","RURAL"
"187","VNM","VNM0105",70400187,1175,38,23.2673,1,"NORTH","URBAN"
"188","VNM","VNM0103",70400188,433,33,16.037,3,"NORTH","REMOTE"
